;;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
402599;Drugi izdatki za tekoče vzdrževanje in zavarovanje;1463711;3555051;866499;2507200;2650164;5965687;4849655;5480252;8580213;14241130;17437266;21761073;15172970;12899571;15367151;15051165;40677234;23242958;52754837;20791478;25446343;17474344
;;;;;;;;;;;;;;;;;;;;;;;
4026;Poslovne najemnine in zakupnine;25161513;31661995;39000551;46817206;49122358;50885579;48022784;50087622;54910631;58394130;63042844;61403698;60505477;61414037;65753662;60109681;55232092;56056048;56106278;56165286;55110654;44084681
402600;Najemnine in zakupnine za poslovne objekte;14635246;20550611;26622289;32041945;34935490;34959519;28699520;30486109;30503570;31088848;33617657;35642387;34647988;34305918;36880397;32532863;28903280;30440643;28939960;30198737;30376344;23442366
402601;Najemnine in zakupnine za stanovanjske objekte;1961558;1918029;1717788;762666;2996329;3693281;4289750;4503778;6508195;10794653;10302761;8670210;9415345;9446791;9568430;9184652;9046735;9167297;9462714;9839908;9683072;7098802
402602;Najemnine in zakupnine za garaže in parkirne prostore;319373;433465;646381;744362;902963;1267167;1302121;1323460;1290910;1433047;1780532;2065182;1944929;2015668;2286738;1968671;2117298;1793149;1688669;1729709;1782675;1408656
402603;Najemnine in zakupnine za druge objekte;1576367;351304;2798578;1547514;1281123;576257;1081903;695490;651608;1169103;1103864;1017273;655865;696722;603627;590384;599965;514108;1763064;1395653;392944;339993
402604;Najem strojne računalniške opreme;558429;2056856;1263707;1356348;1342508;1298465;1657613;1346131;2251312;228426;704733;110947;106964;226330;244327;317852;328615;196761;318585;395633;517489;570515
402605;Nadomestilo za uporabo stavbnega zemljišča;355178;400479;428480;926868;827178;1038635;1486154;1650853;1649792;1719498;1968962;2265805;2350228;2284167;3249202;2338490;2301107;2153507;2540954;2483290;2539320;2222357
402606;Druga nadomestila za uporabo zemljišča;32274;53241;115073;50896;21251;89600;97781;290106;231064;253055;117198;578932;22445;315666;289101;615297;262497;188334;94481;82265;70854;504105
402607;Najem programske računalniške opreme;0;0;0;0;0;0;0;0;0;1971452;2239211;2192415;3285532;3442340;3315633;3286206;2493883;2824766;2744397;2703560;2605437;1978566
402608;Najem komunikacijske opreme in podatkovnih vodov;0;0;0;0;0;0;0;0;0;4874864;5707193;4748899;4577627;4531219;4453889;5064775;5082133;4436309;4614922;4515763;4759429;3677915
402699;Druge najemnine, zakupnine in licenčnine;5723088;5898012;5408256;9386607;6815517;7962655;9407942;9791695;11824179;4861183;5500731;4111649;3498553;4149216;4862319;4210491;4096580;4341172;3938530;2820767;2383091;2841405
;;;;;;;;;;;;;;;;;;;;;;;
4027;Kazni in odškodnine;8370131;7648310;10633906;17046845;10432455;13641350;20266818;9986634;13803646;12783804;10822659;11899620;9353152;21913389;17729990;18483568;35515100;87258553;45745274;13406401;47276807;14546654
402700;Kazni zaradi sodnih postopkov;21570;3918;1356964;8148895;5399017;4612146;6227227;384926;35963;220290;73939;766445;14155;324045;1284;11150;13116;25604;40795;3786880;1788283;3673
402701;Odškodnine neupravičeno obsojenim;2028507;1280188;1966288;1256622;929520;1513998;1039675;943457;556474;1539338;1241323;600356;780247;752375;711246;839739;465197;478260;483797;527827;414095;265129
402702;Odškodnine zaradi sodnih postopkov;6320054;6364204;6774219;5636872;842003;2233916;7409542;6330748;9793873;4718143;3437973;6828219;3912927;2941790;6238303;3566252;2809305;43623364;8598493;920762;1091251;1212164
402799;Druge odškodnine in kazni;0;0;536436;2004457;3261915;5281290;5590375;2327503;3417335;6306033;6069424;3704599;4645823;17895179;10779158;14066427;32227483;43131325;36622189;8170932;43983178;13065688
;;;;;;;;;;;;;;;;;;;;;;;
4028;Davek na izplačane plače;14461007;18049769;21738318;27620536;30854611;36328383;37559152;40454873;34519378;28839691;17917325;0;0;0;0;0;0;0;0;0;0;0
402800;Davek na izplačane plače;14461007;18049769;21738318;27620536;30854611;36328383;37559152;40454873;34519378;28839691;17917325;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
4029;Drugi operativni odhodki;61081380;73018502;79747842;94399869;100253236;94843407;90122701;90674934;91932449;129981693;114467924;124758017;111099217;114105221;124288353;129146412;122670429;118015965;136283102;143115958;145479490;98030132
402900;Stroški konferenc, seminarjev in simpozijev;1996447;2070345;2307624;2467859;2990030;3601350;3779676;3373854;4081075;5768177;7128072;3216908;1886926;1532761;718416;765333;969001;1431311;1550603;1317173;1350121;970209
402901;Plačila avtorskih honorarjev;1923677;3035771;3301723;3297234;3698398;4206403;5134775;5520592;5785556;4762025;4614863;2997606;3010532;3117145;2699359;2666467;2508672;1926012;2668686;2588386;2822829;1780198
402902;Plačila po podjemnih pogodbah;4548458;4758861;5843239;5018846;7532894;6142941;6432980;6134631;6550432;12054115;8818744;8023828;8080864;7334056;6431051;5363391;5427224;5583175;5533093;6119896;6643804;4820020
402903;Plačila za delo preko študentskega servisa;1656108;2676010;3217183;3640622;6256548;4643696;5183280;5144545;5602895;7129725;7438099;5843715;4804929;3901081;1582023;311214;601088;482195;925925;1496123;1742008;1413552
402904;Nadomestila članom posebnih komisij;956292;716786;1501411;2412251;2597654;5123353;264968;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
402905;Sejnine in pripadajoča povračila stroškov;152634;50313;74127;72230;94594;558087;626535;645797;700366;704681;751873;775339;871352;858461;702243;545035;708664;786502;761920;822118;718542;570157
402906;Stroški izpitnih komisij;112215;687121;729831;742032;1259335;918202;5046585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
402907;Izdatki za strokovno izobraževanje zaposlenih;5155863;4371436;4174932;4044462;4166875;4311832;4658753;6274363;6099041;6296729;6395778;5946053;4171177;4393870;1697979;2074972;2411552;2194111;2901537;3877961;4348748;2330798
402908;Dodatki poslancem in državnim svetnikom;681401;927569;1027990;1079104;1122149;38321;460032;628060;650064;661226;696404;717354;728339;747175;695755;653484;652500;664679;663237;687407;653923;483374
402909;Stroški sodišč v sodnih postopkih;3349754;5021422;5859614;7789424;9076491;9570391;13027343;14428246;12580447;12931915;12896512;14173569;16777412;17216613;17269462;14299789;22457634;20126972;17825812;19509625;20136465;16167144
402910;Plačila za delo zaprtih oseb;80011;84217;118149;151450;146429;160305;167357;181270;195151;210318;250142;249485;255752;288413;290957;211441;303041;319602;320064;350179;357244;277153
402911;Davek na izplačane plače;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
402912;Posebni davek na določene prejemke;106922;126594;331117;675594;1303934;791868;899049;778206;857350;2116650;1193107;1023254;958101;800167;513589;297540;361317;292067;319096;419537;491538;386411
402920;Sodni stroški, storitve odvetnikov, sodnih izvedencev, tolmačev, notarjev in drugih;1535602;908377;1585194;1691741;1491765;1497164;2111544;2380526;4757026;5557792;6449607;6586496;5882428;6360287;6252035;7023045;6467713;5637786;6821608;4085554;4713684;3623198
402921;Članarine v mednarodnih organizacijah;3345561;4937964;4409613;8947544;12931137;20165641;8649156;11996528;10179208;14263431;8691768;17594824;12301399;11115646;16654976;19023088;25522588;17083168;28379653;21015874;15338423;11269424
402922;Članarine v domačih neprofitnih institucijah;10987;9515;10657;13023;10229;8472;11980;9416;13887;14017;6178;4383;7917;4552;2000;1555;1915;2714;2732;1848;1187;766
402923;Druge članarine;64951;26210;10629;103519;165513;70568;54489;44010;74354;45992;52030;105267;32333;59754;54025;44161;41286;84394;55714;55906;89690;59268
402930;Plačilo storitev organizacijam, pooblaščenim za plačilni promet;844624;6634564;13728867;15233627;10032991;573503;658886;576962;609945;561133;655832;687124;636809;649154;700124;538817;536900;489367;499880;563609;526275;446579
402931;Plačila bančnih storitev;762031;1171053;2148988;3981421;3464390;3109406;7214760;2898981;1328797;16924718;3318126;5628636;1902518;909079;830535;352570;607853;462144;489306;437127;533496;323963
402932;Stroški, povezani z zadolževanjem;5170881;2292837;2676427;2870758;1696766;1543864;2014333;1736521;1688254;2774717;2332705;4597943;4643760;6445259;21724904;32262504;9256519;14315973;12854636;13141789;11923329;4601948
402934;Plačila storitev Finančni upravi RS;0;509;9818;12199;5;452;1624;16305;1762;1494;4861;669;6834;21736;7816;15622;3618;1857;668;382;197;1241
402935;Stroški plačilnega agenta;4630;290781;387511;177926;100092;38700;26180;10615;16884;24057;25877;3524682;37144;1574544;3016372;3228143;6099550;7734903;8152597;8043857;12997963;6592918
402936;Plačilo stroškov kotacije na borzi;52089;33140;6554;24829;45015;56099;62493;75003;89139;73740;40747;34372;35040;36480;47691;41358;52575;57135;55996;63092;60144;48940
402937;Stroški davčnih postopkov;0;0;0;0;0;0;0;25117;14973;81513;237408;85199;126647;139738;144163;358188;190721;281066;198805;226543;299009;278470
402938;Prejemki zunanjih sodelavcev;0;0;0;0;0;0;0;1455665;592318;4025275;3444707;1693186;2770380;4163287;3759875;480222;3346282;1558428;761489;4159189;2697735;1516156
402939;Stroški strokovnih komisij;0;0;0;0;0;0;0;2776918;1871122;2752212;3419130;2580982;2768771;4776032;3457245;2233782;2958392;1332077;1889595;2919644;3348272;1839045
402940;Prispevki za vzpodbujanje zaposlovanja invalidov po ZZRZI;0;0;0;0;0;0;0;0;358142;399885;362059;387347;430488;588939;459417;410626;430315;445745;400556;406830;423823;302905
402941;Izdatki za izobraževanje z informacijskega področja;0;0;0;0;0;0;0;0;0;431932;697390;739963;532728;1360273;459452;208987;210424;255563;126185;228158;143677;125954
402942;Izdatki za strokovno izobraževanje zaposlenih (po pogodbah o izobraževanju);0;0;0;0;0;0;0;0;0;347634;374285;331609;440574;227243;288915;94161;43467;26221;160537;102482;82698;44377
402943;Stroški EU sodelavcev;0;0;0;0;0;0;0;0;0;0;1137163;5380;4018;111;180;150;747;9911;0;0;0;0
402944;Dajatve na področju odmernih odločb FURS;0;0;0;0;0;0;0;0;0;0;0;0;7918;10280;26170;62422;22;50437;4575;1562;79451;2441
402945;Davek na nepremičnine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;149
402999;Drugi operativni odhodki;28570242;32187107;26286643;29952174;30070001;27712792;23635923;23562803;27234262;29066589;33034456;37202845;36986127;35473086;33801624;35578345;30498848;34380452;41958596;50474082;52955214;37753375
;;;;;;;;;;;;;;;;;;;;;;;
403;Plačila domačih obresti;115708924;129409989;142899739;150949755;205031014;244783831;242805926;249513650;281995967;257723030;205856055;208671602;379552358;444057007;564449901;591714077;656695416;579242325;628782675;723772160;693243562;626487397
;;;;;;;;;;;;;;;;;;;;;;;
4030;Plačila obresti od kreditov - Banki Slovenije;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
403000;Plačila obresti od kratkoročnih kreditov - Banki Slovenije;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
4031;Plačila obresti od kreditov - poslovnim bankam;13223679;21063289;21435909;25488175;35711442;35205466;25299806;16611491;12225031;13207196;10715070;6921752;4648133;2628538;2406321;20076942;16744000;16330684;8885720;5516775;4246768;2346491
403100;Plačila obresti od kratkoročnih kreditov - poslovnim bankam;0;0;37437;2138391;852467;0;0;78834;0;0;1128;0;0;0;0;0;0;0;0;0;0;0
403101;Plačila obresti od dolgoročnih kreditov - poslovnim bankam;0;0;21398421;23349784;34858975;35205466;25299806;16532657;12225031;13207196;10713942;6921752;4648133;2628538;2406321;20076942;16744000;16330684;8885720;5516775;4246768;2346491
403199;Plačila obresti od kreditov-poslovnim bankam;13223679;21063289;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
4032;Plačila obresti od kreditov - drugim finančnim institucijam;24637;0;0;0;2036628;528653;526772;741159;1042755;1177250;816239;157231;78107;122370;37752;21444;27152;16070;17942;137303;265415;256465
403200;Plačila obresti od kratkoročnih kreditov - drugim finančnim institucijam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
403201;Plačila obresti od dolgoročnih kreditov - drugim finančnim institucijam;0;0;0;0;0;0;0;0;0;0;0;0;78107;122370;37752;21444;27152;16070;17942;137303;265415;256465
;;;;;;;;;;;;;;;;;;;;;;;
4033;Plačila obresti od kreditov - drugim domačim kreditodajalcem;1658635;9633;11542;105778;105319;29761;3959333;3334773;5637100;1431278;227412;43919;1835;1585;1659946;997808;705781;169469;9925;0;0;0
403300;Plačila obresti od kratkoročnih kreditov - občinam;0;1787;1297;1562;105285;29754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
403301;Plačila obresti od dolgoročnih kreditov - občinam;81;140;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
403302;Plačila obresti od kratkoročnih kreditov - skladom socialnega zavarovanja;11044;7368;10164;103358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
403303;Plačila obresti od dolgoročnih kreditov - skladom socialnega zavarovanja;1647510;338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
403304;Plačila obresti od kratkoročnih kreditov - javnim skladom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
403305;Plačila obresti od dolgoročnih kreditov - javnim skladom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
403306;Plačila obresti od kratkoročnih kreditov - državnemu proračunu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
403307;Plačila obresti od dolgoročnih kreditov - državnemu proračunu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
403308;Plačila obresti od kratkoročnih kreditov - drugim domačim kreditodajalcem;0;0;0;857;34;7;3959333;3334773;1579692;1431278;227412;43919;1835;1585;0;0;0;0;0;0;0;0
403309;Plačila obresti od dolgoročnih kreditov - drugim domačim kreditodajalcem;0;0;0;0;0;0;0;0;4057408;0;0;0;0;0;1659946;997808;705781;169469;9925;0;0;0
403310;Plačila obresti od kratkoročnih kreditov - javnim agencijam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
403311;Plačila obresti od dolgoročnih kreditov - javnim agencijam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
4034;Plačila obresti od vrednostnih papirjev izdanih na domačem trgu;100801972;108337067;121452287;125355802;167177625;209019951;213020015;228826227;263091081;241907306;194097334;201548701;374824283;441304513;560345882;570617883;639218482;562726102;619869088;718118082;688731379;623884441
403400;Plačila obresti od kratkoročnih vrednostnih papirjev - zadolžnice;0;0;2576007;2565872;177088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
403401;Plačila obresti od kratkoročnih vrednostnih papirjev - enomesečne zakladne menice;0;34823216;68290;3677831;6592031;5695498;331955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
403402;Plačila obresti od kratkoročnih vrednostnih papirjev - trimesečne zakladne menice;0;0;4556868;4924538;6086309;5154365;3685658;3221046;2970418;3126501;4662000;1030439;160743;242584;1374234;383399;73237;550;0;0;0;0
403403;Plačila obresti od kratkoročnih vrednostnih papirjev - šestmesečne zakladne menice;3079579;2411791;3907450;3057386;3928766;5509872;3657404;3215202;3033804;4432001;0;1299592;0;0;3809190;5004121;1228766;39686;450;0;0;0
403404;Plačila obresti od kratkoročnih vrednostnih papirjev - dvanajstmesečne zakladne menice;0;858615;2622050;6464683;6464683;10746276;7749547;6387129;5731311;5887004;0;0;10513152;0;0;9068770;9839323;6178496;452613;0;0;0
403405;Plačila obrod vrednpapirjev-drugim domačim kreditodajem;97722393;70243446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
403406;Plačila obresti od kratkoročnih vrednostnih papirjev - devetmesečne zakladne menice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1028601;0;0;0;0;0
403409;Plačila obresti od drugih kratkoročnih vrednostnih papirjev, izdanih na domačem trgu;0;0;14070478;126978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
403410;Plačila obresti od dolgoročnih vrednostnih papirjev, izdanih na domačem trgu;0;0;93651144;104538513;143928747;181913941;197595451;216002850;251355547;228461799;189435334;199218670;364150389;441061929;555162458;556161593;627048556;556507370;619416025;718118082;688731379;620613565
403411;Obresti od izvedenih finančnih instrumentov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3270876
;;;;;;;;;;;;;;;;;;;;;;;
4035;Plačila obresti subjektom, vključenim v sistem EZR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
403500;Plačila obresti na stanja podračunov EZR subjektom, vključenim v sistem EZR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
403510;Plačila obresti na vloge subjektom, vključenim v sistem EZR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
404;Plačila tujih obresti;56266036;81119899;108570278;145512011;132628748;130954957;129485254;118229554;90044553;93129649;120280254;117774759;97138756;66572120;68065731;235264105;425896391;449594516;435272129;253496965;167329493;70990332
;;;;;;;;;;;;;;;;;;;;;;;
4040;Plačila obresti od kreditov - mednarodnim finančnim institucijam;14360887;16596467;18424674;18783696;16087249;13254968;10793889;10987584;10080159;8474006;5974508;3858496;2951256;2384620;1934352;1485773;9660778;12938908;12738248;13743609;13373449;8966695
404000;Plačila obresti od kratkoročnih kreditov - mednarodnim finančnim institucijam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
404001;Plačila obresti od dolgoročnih kreditov - mednarodnim finančnim institucijam;0;0;18424674;18783696;16087249;13254968;10793889;10987584;10080159;8474006;5974508;3858496;2951256;2384620;1934352;1485773;9660778;12938908;12738248;13743609;13373449;8966695
;;;;;;;;;;;;;;;;;;;;;;;
4041;Plačila obresti od kreditov - tujim vladam;3906263;2136722;757766;447637;187219;107575;44051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
404100;Plačila obresti od kratkoročnih kreditov - tujim vladam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
404101;Plačila obresti od dolgoročnih kreditov - tujim vladam;0;0;757766;447637;187219;107575;44051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
4042;Plačila obresti od kreditov - tujim poslovnim bankam in finančnim institucijam;6862775;9033657;16040150;13604934;9051813;7326154;5895586;5783579;5676905;778143;618246;228763;0;0;0;0;0;0;0;0;0;0
404200;Plačila obresti od kratkoročnih kreditov - tujim poslovnim bankam in finančnim institucijam;0;0;1714328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
404201;Plačila obresti od dolgoročnih kreditov - tujim poslovnim bankam in finančnim institucijam;0;0;14325822;13604934;9051813;7326154;5895586;5783579;5676905;778143;618246;228763;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
4043;Plačila obresti od kreditov - drugim tujim kreditodajalcem;31136110;53353053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
404300;Plačila obresti od kratkoročnih kreditov - drugim tujim kreditodajalcem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
404301;Plačila obresti od dolgoročnih kreditov - drugim tujim kreditodajalcem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
4044;Plačila obresti od vrednostnih papirjev, izdanih na tujih trgih;0;0;73347688;112675745;107302467;110266261;112751728;101458391;74287489;83877500;113687500;113687500;94187500;64187500;66131378;233778332;416235613;436655607;422533881;239753357;153956044;62023637
404400;Plačila obresti od kratkoročnih vrednostnih papirjev, izdanih na tujih trgih;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
404401;Plačila obresti od dolgoročnih vrednostnih papirjev, izdanih na tujih trgih;0;0;73347688;112675745;107302467;110266261;112751728;101458391;74287489;83877500;113687500;113687500;94187500;64187500;66131378;233778332;416235613;436655607;422533881;239753357;153956044;62023637
;;;;;;;;;;;;;;;;;;;;;;;
405;Prenos proračunu pripadajočega dela rezultata poslovanja sistema EZR preteklega leta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
4050;Prenos proračunu pripadajočega dela rezultata poslovanja sistema EZR preteklega leta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
405000;Prenos proračunu pripadajočega dela rezultata poslovanja sistema EZR preteklega leta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
409;Rezerve;39966437;39092975;47618393;32680476;35235031;69767288;37452198;40331014;43638738;67947915;89203479;18223340;25204794;49535997;31268309;109476781;68443193;179017930;151211277;157452217;265208515;126700096
;;;;;;;;;;;;;;;;;;;;;;;
4090;Splošna proračunska rezervacija;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
409000;Splošna proračunska rezervacija;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
4091;Proračunska rezerva;39966437;39092975;47618393;32680476;30588651;48533243;9589087;28394411;26338659;45707848;54146659;5654193;3779152;30690122;18896559;32747594;18896559;54121599;5121599;17833429;19401952;3753000
409100;Proračunska rezerva;39966437;39092975;47618393;32680476;30588651;48533243;9589087;28394411;26338659;45707848;54146659;5654193;3779152;30690122;18896559;32747594;18896559;54121599;5121599;17833429;19401952;3753000
;;;;;;;;;;;;;;;;;;;;;;;
4092;Druge rezerve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11899200;13737200;0
409299;Druge rezerve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11899200;13737200;0
;;;;;;;;;;;;;;;;;;;;;;;
4093;Sredstva za posebne namene;0;0;0;0;4646380;21234045;27863111;11936603;17300079;22240067;35056820;12569147;21425642;18845875;12371750;76729187;49546634;124896331;146089678;127719588;232069363;122947096
409300;Sredstva proračunskih skladov;0;0;0;0;4646380;21234045;27863111;11936603;17300079;22240067;35056820;12569147;21425642;18845875;12371750;76729187;49546634;124896331;146089678;127719588;232069363;122947096
;;;;;;;;;;;;;;;;;;;;;;;
4098;Rezervacije za kreditna tveganja v javnih skladih;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
409800;Rezervacije za kreditna tveganja v javnih skladih;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
41;TEKOČI TRANSFERI;2177875738;2413284256;2559787692;2971187397;3320031135;3643919071;4017221619;4357042820;4521420624;4306787381;4625788504;5311259911;5390578660;5608396870;5347123971;5346960557;5214723664;5034396887;4992254193;5136207843;5071558586;3969103351
;;;;;;;;;;;;;;;;;;;;;;;
410;Subvencije;188125721;243582899;220222804;236904013;236457863;268632952;303204359;364294143;383072202;403473692;454522346;573399494;551600249;459374731;455290593;472228719;423071448;356521541;352187043;380442403;395631793;294494369
;;;;;;;;;;;;;;;;;;;;;;;
4100;Subvencije javnim podjetjem;76536285;80276450;63194337;52921072;54944847;59449536;67210568;68575027;77681516;77540782;74475658;68689595;69772768;66337753;64665938;62022496;66514147;63810912;63918350;67175538;67582869;41429336
410000;Subvencioniranje cen javnim podjetjem in drugim izvajalcem gospodarskih javnih služb;35934610;329353;43993995;24514356;23698637;24453424;34343870;37420507;39925632;44123133;38272038;42304790;48900000;48373984;45566287;56084286;56004131;56773237;48000000;50000000;54850916;37895067
410001;Subvencioniranje obresti javnim podjetjem;3835525;1390676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
410002;Subvencioniranje prispevkov za socialno varnost javnim podjetjem;27369;0;76365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
410003;Sredstva za preusposabljanje presežnih delavcev v javnih podjetjih;2638585;570813;76059;2613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
410004;Pokrivanje izgub javnim podjetjem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
410005;Sredstva za prestrukturiranje in prenovo proizvodnje v javnih podjetjih;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;326420;0;0;0;0
410006;Sredstva za zapiranje proizvodnje v javnih podjetjih;4704041;6024444;6817318;16536336;28471240;28497307;29760142;27753244;32280668;30368021;28977385;22555697;16537808;14540396;8220848;5693210;10310017;6245727;15822726;17095243;12686399;3496635
410007;Subvencioniranje glavnic dolga javnih podjetij;6325154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
410015;Sredstva za izvajanje ekoloških programov v javnih podjetjih;0;1596804;787014;3710094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
410099;Druge subvencije javnim podjetjem;23071002;70364359;11443586;8157673;2774970;6498806;3106557;3401277;5475215;3049628;7226235;3829108;4334960;3423373;10878802;245000;200000;465528;95624;80296;45554;37634
;;;;;;;;;;;;;;;;;;;;;;;
4101;Subvencije finančnim institucijam;0;0;0;0;0;0;0;14671294;0;3187335;3205066;3179102;3241358;0;0;155;0;0;0;0;0;0
410101;Subvencioniranje obresti finančnim institucijam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
410104;Pokrivanje izgub finančnim institucijam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
410199;Druge subvencije finančnim institucijam;0;0;0;0;0;0;0;14671294;0;3187335;3205066;3179102;3241358;0;0;155;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;
4102;Subvencije privatnim podjetjem in zasebnikom;111589436;163306449;157028466;183982941;181513016;209183416;235993791;281047822;305390686;322745576;376841622;501530798;478586123;393036978;390624656;410206067;356557300;292710629;288268693;313266864;328048924;253065033
410200;Subvencioniranje cen privatnim podjetjem in zasebnikom;20857758;29333582;7164825;986525;3302451;3447338;2812713;219664;2617484;3249300;223316;397123;230285;7151554;1600776;245291;946730;68739;533274;1473158;2245805;255900
410201;Subvencioniranje obresti privatnim podjetjem in zasebnikom;4782121;6020544;3567938;3771754;3774385;3864144;3481;1210;1460524;1500000;1230000;500000;1853321;4603685;4980586;4466089;3327330;2538988;1909237;1228876;809922;495307
410202;Subvencioniranje prispevkov za socialno varnost privatnim podjetjem;642294;3257058;11391265;17925238;16728052;6469789;1935782;180767;17431;18546;224614;362123;253443;412967;548529;365862;195468;330234;855783;1050197;840248;365188
410203;Sredstva za preusposabljanje presežnih delavcev privatnim podjetjem;0;0;0;544518;1621504;1143833;1162622;999513;1456787;486461;26539;10201;0;0;0;0;0;0;0;0;0;0
410204;Pokrivanje izgub privatnim podjetjem;0;0;23210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
410205;Sredstva za prestrukturiranje in prenovo proizvodnje v privatnih podjetjih;996499;1176213;6937227;654972;33000;7697634;12788000;2850342;1065310;176187;560762;734507;1242013;1352856;627774;346187;228989;0;0;0;0;0
410206;Sredstva za zapiranje proizvodnje v privatnih podjetjih;5172312;4571440;4127379;3037056;3714060;1314;0;0;0;0;0;840;0;0;0;0;0;0;0;0;0;0
